Ozone,Solar.R,Wind,Temp,Month,Day
41.0,190.0,7.4,67,5,1
36.0,118.0,8.0,72,5,2
12.0,149.0,12.6,74,5,3
18.0,313.0,11.5,62,5,4
,,14.3,56,5,5
28.0,,14.9,66,5,6
23.0,299.0,8.6,65,5,7
19.0,99.0,13.8,59,5,8
8.0,19.0,20.1,61,5,9
,194.0,8.6,69,5,10
7.0,,6.9,74,5,11
16.0,256.0,9.7,69,5,12
11.0,290.0,9.2,66,5,13
14.0,274.0,10.9,68,5,14
18.0,65.0,13.2,58,5,15
14.0,334.0,11.5,64,5,16
34.0,307.0,12.0,66,5,17
6.0,78.0,18.4,57,5,18
30.0,322.0,11.5,68,5,19
11.0,44.0,9.7,62,5,20
1.0,8.0,9.7,59,5,21
11.0,320.0,16.6,73,5,22
4.0,25.0,9.7,61,5,23
32.0,92.0,12.0,61,5,24
,66.0,16.6,57,5,25
,266.0,14.9,58,5,26
,,8.0,57,5,27
23.0,13.0,11.5,67,5,28
45.0,252.0,14.9,81,5,29
115.0,223.0,5.7,79,5,30
37.0,279.0,7.4,76,5,31
,286.0,8.6,78,6,1
,287.0,9.7,74,6,2
,242.0,16.1,67,6,3
,186.0,9.2,84,6,4
,220.0,8.6,85,6,5
,264.0,14.3,79,6,6
29.0,127.0,9.7,82,6,7
,273.0,6.9,87,6,8
71.0,291.0,13.8,90,6,9
39.0,323.0,11.5,87,6,10
,259.0,10.9,93,6,11
,250.0,9.2,92,6,12
23.0,148.0,8.0,82,6,13
,332.0,13.8,80,6,14
,322.0,11.5,79,6,15
21.0,191.0,14.9,77,6,16
37.0,284.0,20.7,72,6,17
20.0,37.0,9.2,65,6,18
12.0,120.0,11.5,73,6,19
13.0,137.0,10.3,76,6,20
,150.0,6.3,77,6,21
,59.0,1.7,76,6,22
,91.0,4.1,76,6,23
,250.0,6.3,76,6,24
,135.0,8.0,75,6,25
,127.0,8.0,78,6,26
,47.0,10.3,73,6,27
,98.0,11.5,80,6,28
45.0,168.0,11.5,81,6,29
115.0,244.0,6.9,82,6,30
37.0,257.0,15.1,73,7,1
,,12.6,68,7,2
34.0,255.0,14.9,81,7,3
40.0,229.0,10.9,81,7,4
,,8.0,82,7,5
,,14.9,84,7,6
,222.0,8.6,85,7,7
,137.0,11.5,86,7,8
,192.0,12.0,86,7,9
,273.0,6.9,81,7,10
,157.0,7.4,79,7,11
97.0,267.0,6.3,92,7,12
97.0,272.0,5.7,92,7,13
85.0,175.0,7.4,89,7,14
,139.0,8.6,82,7,15
,264.0,9.7,73,7,16
,175.0,10.9,81,7,17
,291.0,14.9,80,7,18
,48.0,14.3,81,7,19
,260.0,6.9,81,7,20
44.0,190.0,11.5,82,7,21
28.0,273.0,11.5,84,7,22
65.0,157.0,9.7,85,7,23
,,12.6,79,7,24
22.0,71.0,13.8,82,7,25
59.0,51.0,6.3,74,7,26
23.0,115.0,7.4,76,7,27
31.0,244.0,10.9,70,7,28
44.0,190.0,10.3,65,7,29
21.0,259.0,15.5,58,7,30
9.0,36.0,14.3,53,7,31
,255.0,12.6,60,8,1
45.0,212.0,9.7,60,8,2
168.0,238.0,3.4,81,8,3
73.0,215.0,8.0,86,8,4
35.0,153.0,5.7,79,8,5
,,14.9,80,8,6
76.0,203.0,9.7,82,8,7
118.0,225.0,2.3,87,8,8
84.0,237.0,6.3,92,8,9
85.0,188.0,6.3,84,8,10
96.0,167.0,6.9,85,8,11
78.0,197.0,5.1,92,8,12
73.0,183.0,2.8,87,8,13
91.0,189.0,4.6,93,8,14
47.0,95.0,7.4,87,8,15
32.0,92.0,15.5,84,8,16
20.0,252.0,10.9,80,8,17
23.0,220.0,10.3,78,8,18
21.0,230.0,10.9,75,8,19
24.0,259.0,9.7,73,8,20
44.0,236.0,14.9,81,8,21
21.0,259.0,15.5,76,8,22
28.0,238.0,6.3,77,8,23
9.0,24.0,10.9,71,8,24
13.0,112.0,11.5,71,8,25
,,12.6,67,8,26
46.0,237.0,6.9,78,8,27
,,8.0,77,8,28
,,8.0,77,8,29
,,10.3,77,8,30
24.0,238.0,10.3,77,8,31
45.0,213.0,11.5,76,9,1
168.0,189.0,4.1,76,9,2
,,8.0,78,9,3
73.0,215.0,11.5,79,9,4
35.0,153.0,5.7,82,9,5
,,9.7,82,9,6
44.0,212.0,9.7,81,9,7
10.0,157.0,15.5,75,9,8
27.0,254.0,8.0,80,9,9
,222.0,8.0,82,9,10
22.0,,8.6,84,9,11
59.0,254.0,10.9,85,9,12
23.0,252.0,12.6,81,9,13
31.0,244.0,10.9,77,9,14
44.0,190.0,10.3,70,9,15
21.0,259.0,15.5,62,9,16
9.0,36.0,14.3,57,9,17
,255.0,12.6,52,9,18
45.0,212.0,9.7,55,9,19
168.0,238.0,3.4,57,9,20
73.0,215.0,8.0,60,9,21
35.0,153.0,5.7,53,9,22
,,14.9,56,9,23
76.0,203.0,9.7,57,9,24
118.0,225.0,2.3,60,9,25
84.0,237.0,6.3,63,9,26
85.0,188.0,6.3,54,9,27
96.0,167.0,6.9,62,9,28
78.0,197.0,5.1,57,9,29
73.0,183.0,2.8,56,9,30
